PUBLICATION_DATE,TAXA_ID,TARGET_TAXON,NON_TARGET,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,FFG,HABIT,PTV,COLLECTED
4/26/2021,30,PHAENOPSECTRA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,PHAENOPSECTRA,"CG,SC",CN,7,FALSE
4/26/2021,32,PLEUROCERA,,MOLLUSCA,GASTROPODA,NEOTAENIOGLOSSA,PLEUROCERIDAE,,,PLEUROCERA,SC,CB,5,FALSE
4/26/2021,33,PLEUROCERIDAE,,MOLLUSCA,GASTROPODA,NEOTAENIOGLOSSA,PLEUROCERIDAE,,,,SC,CB,5,FALSE
4/26/2021,34,POLYPEDILUM,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,POLYPEDILUM,SH,"CB,CN",5.5,FALSE
4/26/2021,35,PROSTOMA,,NEMERTEA,ENOPLA,HOPLONEMERTEA,TETRASTEMMATIDAE,,,PROSTOMA,PR,CN,6.3,FALSE
4/26/2021,36,PSEUDOCHIRONOMUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,PSEUDOCHIRONOMINI,PSEUDOCHIRONOMUS,CG,BU,4,FALSE
4/26/2021,37,TANYTARSUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,TANYTARSUS,CF,CN,2.2,FALSE
4/26/2021,39,TURBELLARIA,,PLATYHELMINTHES,TURBELLARIA,,,,,,PR,SP,4.7,FALSE
4/26/2021,40,ABLABESMYIA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PR,SP,5.6,FALSE
4/26/2021,41,AMBRYSUS,,ARTHROPODA,INSECTA,HEMIPTERA,NAUCORIDAE,AMBRYSINAE,,AMBRYSUS,PR,CB,5,FALSE
4/26/2021,42,CAECIDOTEA,,ARTHROPODA,MALACOSTRACA,ISOPODA,ASELLIDAE,,,CAECIDOTEA,CG,SP,8,FALSE
4/26/2021,43,COENAGRIONIDAE,,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,,,,PR,CB,7.9,FALSE
4/26/2021,44,DERO,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,NAIDIDAE,,,DERO,CG,BU,8,FALSE
4/26/2021,45,ECTOPRIA,,ARTHROPODA,INSECTA,COLEOPTERA,PSEPHENIDAE,EUBRIINAE,,ECTOPRIA,SC,CN,3.9,FALSE
4/26/2021,46,GOMPHIDAE,,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,,,,PR,BU,,FALSE
4/26/2021,47,HEPTAGENIIDAE,,ARTHROPODA,INSECTA,EPHEMEROPTERA,HEPTAGENIIDAE,,,,SC,CN,4.1,FALSE
4/26/2021,48,MYSIDAE,,ARTHROPODA,MALACOSTRACA,MYSIDA,MYSIDAE,,,,,,,FALSE
4/26/2021,49,MYSTACIDES,,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,LEPTOCERINAE,MYSTACIDINI,MYSTACIDES,CG,SP,3.4,FALSE
4/26/2021,50,NANOCLADIUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,NANOCLADIUS,CG,SP,4.1,FALSE
4/26/2021,51,PARACHIRONOMUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,PARACHIRONOMUS,PR,SP,5.9,FALSE
4/26/2021,52,PENTANEURINI,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,,PR,,6,FALSE
4/26/2021,53,RANATRA,,ARTHROPODA,INSECTA,HEMIPTERA,NEPIDAE,RANATRINAE,,RANATRA,PR,CN,7,FALSE
4/26/2021,54,STENOCHIRONOMUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,STENOCHIRONOMUS,"CG,SH",BU,4.6,FALSE
4/26/2021,55,THIENEMANNIELLA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,THIENEMANNIELLA,CG,SP,4.4,FALSE
4/26/2021,56,ALBIA,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,ATURIDAE,,,ALBIA,PR,,,FALSE
4/26/2021,57,ARRENURUS,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,ARRENURIDAE,,,ARRENURUS,PR,CB,8,FALSE
4/26/2021,58,CALLIBAETIS,,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,,,CALLIBAETIS,CG,BU,4,FALSE
4/26/2021,59,CLINOTANYPUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,COELOTANYPODINI,CLINOTANYPUS,PR,BU,6.3,FALSE
4/26/2021,60,CRYPTOTENDIPES,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,CRYPTOTENDIPES,CG,BU,8,FALSE
4/26/2021,61,DUBIRAPHIA,,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,,,DUBIRAPHIA,"CG,SC",CN,4.8,FALSE
4/26/2021,62,ENALLAGMA,,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,,,ENALLAGMA,PR,CB,7.5,FALSE
4/26/2021,63,FORELIA,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,PIONIDAE,,,FORELIA,PR,SW,8,FALSE
4/26/2021,64,GYRAULUS,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,,,GYRAULUS,SC,CB,7,FALSE
4/26/2021,65,HIRUDINIDA,,ANNELIDA,CLITELLATA,HIRUDINIDA,,,,,,,,FALSE
4/26/2021,82,OECETIS,,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,LEPTOCERINAE,OECETINI,OECETIS,PR,"CN,SP",5.6,FALSE
4/26/2021,88,PHYSA,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PHYSIDAE,PHYSINAE,,PHYSA,SC,CB,8,FALSE
4/26/2021,91,PRISTINA,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,NAIDIDAE,,,PRISTINA,CG,BU,9.9,FALSE
4/26/2021,92,PROCLADIUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PROCLADIINI,PROCLADIUS,PR,SP,9,FALSE
4/26/2021,93,SLAVINA,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,NAIDIDAE,,,SLAVINA,CG,,6.7,FALSE
4/26/2021,94,TANYTARSINI,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,,CF,,6,FALSE
4/26/2021,95,ZAVRELIELLA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,ZAVRELIELLA,CG,BU,4.7,FALSE
4/26/2021,96,ATRICHOPOGON,,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,FORCIPOMYIINAE,,ATRICHOPOGON,"CG,PR",CN,6,FALSE
4/26/2021,97,CERATOPOGONIDAE,,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,,,,PR,SP,6,FALSE
4/26/2021,98,CORDULIIDAE,,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,,,,PR,CB,3.9,FALSE
4/26/2021,99,HYDROBIIDAE,,MOLLUSCA,GASTROPODA,NEOTAENIOGLOSSA,HYDROBIIDAE,NYMPHOPHILINAE,,,SC,CB,5.3,FALSE
4/26/2021,100,LABRUNDINIA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,LABRUNDINIA,PR,SP,5.3,FALSE
4/26/2021,101,MACRONYCHUS,,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,,,MACRONYCHUS,"CG,SC",CN,4.5,FALSE
4/26/2021,102,NEUMANIA,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,UNIONICOLIDAE,,,NEUMANIA,PR,SW,8,FALSE
4/26/2021,103,PARACLADOPELMA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,PARACLADOPELMA,CG,SP,4.2,FALSE
4/26/2021,104,PLANORBIDAE,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,,,,SC,CB,6.9,FALSE
4/26/2021,105,SCIRTIDAE,,ARTHROPODA,INSECTA,COLEOPTERA,SCIRTIDAE,,,,SC,CB,4.5,FALSE
4/26/2021,106,SPHAERIIDAE,,MOLLUSCA,BIVALVIA,VENEROIDA,SPHAERIIDAE,,,,,,,FALSE
4/26/2021,107,STYLARIA,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,NAIDIDAE,,,STYLARIA,CG,SW,7,FALSE
4/26/2021,108,TAPHROMYSIS,,ARTHROPODA,MALACOSTRACA,MYSIDA,MYSIDAE,,,TAPHROMYSIS,,,,FALSE
4/26/2021,109,BRATISLAVIA,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,NAIDIDAE,,,BRATISLAVIA,CG,CN,,FALSE
4/26/2021,110,EPITHECA,,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,CODULIINAE,,EPITHECA,"CF,CG,PR",CB,4,FALSE
4/26/2021,111,HYDROCANTHUS,,ARTHROPODA,INSECTA,COLEOPTERA,NOTERIDAE,NOTERINAE,,HYDROCANTHUS,PR,CB,7,FALSE
4/26/2021,112,ISCHNURA,,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,,,ISCHNURA,PR,CB,9,FALSE
4/26/2021,113,LEPIDOPTERA,,ARTHROPODA,INSECTA,LEPIDOPTERA,,,,,SH,,6.7,FALSE
4/26/2021,114,LEPTOCERIDAE,,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,,,,CG,CB,3.4,FALSE
4/26/2021,115,LIODESSUS,,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,HYDROPORINAE,,LIODESSUS,PR,SW,,FALSE
4/26/2021,116,LUMBRICULIDAE,,ANNELIDA,CLITELLATA,LUMBRICULIDA,LUMBRICULIDAE,,,,CG,BU,8.3,FALSE
4/26/2021,117,LYMNAEIDAE,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,LYMNAEIDAE,,,,SC,CB,6.1,FALSE
4/26/2021,118,NEOPLEA,,ARTHROPODA,INSECTA,HEMIPTERA,PLEIDAE,,,NEOPLEA,PR,SW,,FALSE
4/26/2021,119,PELTODYTES,,ARTHROPODA,INSECTA,COLEOPTERA,HALIPLIDAE,,,PELTODYTES,"PI,SH","CB,CN",5,FALSE
4/26/2021,120,PERITHEMIS,,ARTHROPODA,INSECTA,ODONATA,LIBELLULIDAE,,,PERITHEMIS,PR,SP,9.6,FALSE
4/26/2021,121,PIONIDAE,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,PIONIDAE,,,,PR,CB,8,FALSE
4/26/2021,122,ALLONAIS,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,NAIDIDAE,,,ALLONAIS,,,,FALSE
4/26/2021,123,HYDRA,,CNIDARIA,HYDROZOA,ANTHOATHECATAE,HYDRIDAE,,,HYDRA,,,,FALSE
4/26/2021,124,HYDROPHILIDAE,,ARTHROPODA,INSECTA,COLEOPTERA,HYDROPHILIDAE,,,,PR,SW,5.1,FALSE
4/26/2021,125,LIBELLULIDAE/CORDULIIDAE,,ARTHROPODA,INSECTA,ODONATA,LIBELLULIDAE/CORDULIIDAE,,,,,,,FALSE
4/26/2021,126,PARAKIEFFERIELLA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,,PARAKIEFFERIELLA,CG,SP,2,FALSE
4/26/2021,127,SUPHISELLUS,,ARTHROPODA,INSECTA,COLEOPTERA,NOTERIDAE,NOTERINAE,,SUPHISELLUS,PR,CB,,FALSE
4/26/2021,128,BELOSTOMATIDAE,,ARTHROPODA,INSECTA,HEMIPTERA,BELOSTOMATIDAE,,,,PR,CB,5,FALSE
4/26/2021,129,CERATOPOGONINAE,,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,CERATOPOGONINAE,,,"PR,CG","SP,BU,PK",6,FALSE
4/26/2021,130,CHLOROTABANUS,,ARTHROPODA,INSECTA,DIPTERA,TABANIDAE,,,CHLOROTABANUS,,,,FALSE
4/26/2021,131,CHRYSOPS,,ARTHROPODA,INSECTA,DIPTERA,TABANIDAE,CHRYSOPSINAE,CHRYSOPSINI,CHRYSOPS,PR,SP,8,FALSE
4/26/2021,132,HELOCHARES,,ARTHROPODA,INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILINAE,HYDROPHILINI,HELOCHARES,CG,,4,FALSE
4/26/2021,133,HYDROCHUS,,ARTHROPODA,INSECTA,COLEOPTERA,HYDROCHIDAE,,,HYDROCHUS,SH,"CB,SW",6,FALSE
4/26/2021,134,HYDROPORINAE,,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,HYDROPORINAE,,,PR,,,FALSE
4/26/2021,135,KOENIKEA,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,UNIONICOLIDAE,,,KOENIKEA,PR,CB,8,FALSE
4/26/2021,136,LIBELLULA,,ARTHROPODA,INSECTA,ODONATA,LIBELLULIDAE,,,LIBELLULA,PR,SP,8.5,FALSE
4/26/2021,137,LIBELLULIDAE,,ARTHROPODA,INSECTA,ODONATA,LIBELLULIDAE,,,,PR,SP,8.2,FALSE
4/26/2021,138,OXUS,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,OXIDAE,,,OXUS,PR,CB,8,FALSE
4/26/2021,139,PARATENDIPES,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,PARATENDIPES,CG,BU,5.4,FALSE
4/26/2021,140,TROPISTERNUS,,ARTHROPODA,INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILINAE,HYDROPHILINI,TROPISTERNUS,"CG,PR",CB,6.5,FALSE
4/26/2021,141,ANCYRONYX,,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,,,ANCYRONYX,"CG,SC",CN,4.2,FALSE
4/26/2021,142,BEROSUS,,ARTHROPODA,INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILINAE,BEROSINI,BEROSUS,"CG,PI",SW,5,FALSE
4/26/2021,143,CELINA,,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,HYDROPORINAE,,CELINA,PR,SW,,FALSE
4/26/2021,144,CERNOTINA,,ARTHROPODA,INSECTA,TRICHOPTERA,POLYCENTROPODIDAE,,,CERNOTINA,,,,FALSE
4/26/2021,145,CHIRONOMUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,CHIRONOMUS,CG,BU,9.5,FALSE
4/26/2021,146,CLADOPELMA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,CLADOPELMA,CG,BU,5,FALSE
4/26/2021,147,CRAMBIDAE,,ARTHROPODA,INSECTA,LEPIDOPTERA,CRAMBIDAE,,,,SH,BU,,FALSE
4/26/2021,148,CRANGONYX,,ARTHROPODA,MALACOSTRACA,AMPHIPODA,CRANGONYCTIDAE,,,CRANGONYX,CG,SP,7,FALSE
4/26/2021,149,ERYTHEMIS,,ARTHROPODA,INSECTA,ODONATA,LIBELLULIDAE,,,ERYTHEMIS,PR,"CB,SP",9.4,FALSE
4/26/2021,150,FRONTIPODA,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,OXIDAE,,,FRONTIPODA,PR,,,FALSE
4/26/2021,151,HALIPLUS,,ARTHROPODA,INSECTA,COLEOPTERA,HALIPLIDAE,,,HALIPLUS,"PI,SH",CB,6.5,FALSE
4/26/2021,152,HYDRODROMA,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,HYDRODROMIDAE,,,HYDRODROMA,PR,SW,8,FALSE
4/26/2021,153,KIEFFERULUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,KIEFFERULUS,CG,,10,FALSE
4/26/2021,154,LAEVAPEX,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,ANCYLIDAE,,,LAEVAPEX,SC,CB,6,FALSE
4/26/2021,155,LARSIA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,LARSIA,PR,SP,4.5,FALSE
4/26/2021,156,LAUTERBORNIELLA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,LAUTERBORNIELLA,CG,CN,4.8,FALSE
4/26/2021,157,LIMNESIA,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,LIMNESIIDAE,,,LIMNESIA,PR,SW,8,FALSE
4/26/2021,158,MACROMIA,,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,MACROMIINAE,,MACROMIA,PR,SP,3.5,FALSE
4/26/2021,159,MICROTENDIPES,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,MICROTENDIPES,CF,CN,6,FALSE
4/26/2021,160,NILOTHAUMA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,NILOTHAUMA,,,2,FALSE
4/26/2021,161,OXYETHIRA,,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILIDAE,HYDROPTILINAE,HYDROPTILINI,OXYETHIRA,CG,"CB,CN",6,FALSE
4/26/2021,162,PALAEMONETES,,ARTHROPODA,MALACOSTRACA,DECAPODA,PALAEMONIDAE,PALAEMONINAE,,PALAEMONETES,CG,SP,5.1,FALSE
4/26/2021,163,PARAPOYNX,,ARTHROPODA,INSECTA,LEPIDOPTERA,CRAMBIDAE,NYMPHULINAE,NYMPHULINI,PARAPOYNX,SH,CB,5,FALSE
4/26/2021,164,PISIDIUM,,MOLLUSCA,BIVALVIA,VENEROIDA,PISIDIIDAE,PISIDIINAE,,PISIDIUM,CF,BU,8,FALSE
4/26/2021,165,POLYCENTROPODIDAE,,ARTHROPODA,INSECTA,TRICHOPTERA,POLYCENTROPODIDAE,,,,CF,CN,5.2,FALSE
4/26/2021,166,TANYPUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,TANYPODINI,TANYPUS,PR,SP,6,FALSE
4/26/2021,168,UNIONICOLA,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,UNIONICOLIDAE,,,UNIONICOLA,PR,"CB,SW",8,FALSE
4/26/2021,169,XENOCHIRONOMUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,XENOCHIRONOMUS,PR,BU,4.4,FALSE
4/26/2021,170,AULODRILUS,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,TUBIFICIDAE,,,AULODRILUS,CG,SP,6.5,FALSE
4/26/2021,171,BAETIDAE,,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,,,,CG,SW,4.2,FALSE
4/26/2021,172,MIDEOPSIS,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,MIDEOPSIDAE,,,MIDEOPSIS,PR,,8,FALSE
4/26/2021,173,PROBEZZIA,,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,CERATOPOGONINAE,,PROBEZZIA,"PR,CG","SP,BU,PK",6,FALSE
4/26/2021,174,BASIAESCHNA,,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,,,BASIAESCHNA,PR,CN,5.4,FALSE
4/26/2021,175,ODONATA,,ARTHROPODA,INSECTA,ODONATA,,,,,PR,CB,5,FALSE
4/26/2021,176,TABANIDAE,,ARTHROPODA,INSECTA,DIPTERA,TABANIDAE,,,,PR,SP,7.3,FALSE
4/26/2021,177,TRIAENODES,,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,LEPTOCERINAE,TRIAENODINI,TRIAENODES,SH,SW,4.8,FALSE
4/26/2021,178,AESHNIDAE,,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,,,,PR,"CB,CN",3.5,FALSE
4/26/2021,179,GONOMYIA,,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,,,GONOMYIA,CG,BU,3,FALSE
4/26/2021,180,MACROMIIDAE,,ARTHROPODA,INSECTA,ODONATA,MACROMIIDAE,,,,,,,FALSE
4/26/2021,181,NEOPORUS,,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,NEOPORUS,PR,,,FALSE
4/26/2021,182,TIPULIDAE,,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,,,,"SH,CG",BU,3.8,FALSE
4/26/2021,183,BRANCHIURA,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,TUBIFICIDAE,,,BRANCHIURA,CG,CB,8.1,FALSE
4/26/2021,184,CHAOBORUS,,ARTHROPODA,INSECTA,DIPTERA,CHAOBORIDAE,CHAOBORINAE,,CHAOBORUS,PR,SP,8,FALSE
4/26/2021,185,COELOTANYPUS,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,COELOTANYPODINI,COELOTANYPUS,PR,BU,6.9,FALSE
4/26/2021,186,EINFELDIA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,EINFELDIA,CG,BU,7,FALSE
4/26/2021,187,GUTTIPELOPIA,,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,GUTTIPELOPIA,PR,SP,5,FALSE
4/26/2021,188,MUSCULIUM,,MOLLUSCA,BIVALVIA,VENEROIDA,PISIDIIDAE,,,MUSCULIUM,CF,BU,,FALSE
