ID,UID,SITE_ID,DATE_COL,LAT_DD,LON_DD,VISIT_NO,TAXA_ID,TARGET_TAXON,TOTAL_300,IS_DISTINCT_300,PHYLUM,CLASS,ORDER,TRIBE,FAMILY,SUBFAMILY,GENUS,FFG,HABIT,PTV,PUBLICATION_DATE
674,2007696,NLA06608-0242,8/2/2007,41.56832304,-71.91051169,1,40,ABLABESMYIA,8,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/9/2016
710,2007723,NLA06608-0293,7/25/2007,41.38426053,-73.50316356,1,40,ABLABESMYIA,2,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/9/2016
784,2008163,NLA06608-1125,8/7/2007,41.93751914,-73.45450471,1,40,ABLABESMYIA,7,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/9/2016
857,2008303,NLA06608-1414,8/28/2007,41.92400456,-72.21921899,1,40,ABLABESMYIA,10,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/9/2016
916,6689,NLA12_CT-101,6/20/2012,41.92395129,-72.21958455,1,40,ABLABESMYIA,11,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/23/2016
968,6813,NLA12_CT-115,6/26/2012,41.71185606,-72.32903222,1,40,ABLABESMYIA,16,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/23/2016
995,6854,NLA12_CT-102,6/28/2012,41.8811168,-73.03985488,1,40,ABLABESMYIA,9,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/23/2016
1062,7091,NLA12_CT-104,7/11/2012,41.95084399,-71.9511164,1,40,ABLABESMYIA,5,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/23/2016
1102,7224,NLA12_CT-118,7/17/2012,41.77454096,-71.88798099,1,40,ABLABESMYIA,9,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/23/2016
1180,7450,NLA12_CT-107,7/25/2012,41.3389906,-72.48613163,1,40,ABLABESMYIA,2,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/23/2016
1229,7582,NLA12_CT-126,8/1/2012,41.84051817,-72.10979305,1,40,ABLABESMYIA,7,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/23/2016
1251,7800,NLA12_CT-103,8/9/2012,41.67757315,-73.14469782,1,40,ABLABESMYIA,6,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/23/2016
1333,7953,NLA12_CT-108,8/15/2012,41.65348504,-73.20748141,1,40,ABLABESMYIA,6,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/23/2016
1383,8298,NLA12_CT-101,8/29/2012,41.92395129,-72.21958455,2,40,ABLABESMYIA,4,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/23/2016
1482,8412,NLA12_CT-115,9/6/2012,41.71185606,-72.32903222,2,40,ABLABESMYIA,9,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/23/2016
1483,8500,NLA12_CT-105,9/12/2012,41.89704559,-73.44712926,1,40,ABLABESMYIA,1,1,ARTHROPODA,INSECTA,DIPTERA,PENTANEURINI,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,PR,SP,5.6,8/23/2016
1641,2010234,NLA17_CT-10005,13-Jun-17,41.84052,-72.10979,1,40,ABLABESMYIA,5,1,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PR,SP,5.6,4/26/2021
1696,2010341,NLA17_CT-10001,22-Jun-17,41.92421,-72.21896,1,40,ABLABESMYIA,15,1,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PR,SP,5.6,4/26/2021
1735,2010342,NLA17_CT-HP001,21-Jun-17,41.409888,-72.528337,1,40,ABLABESMYIA,13,1,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PR,SP,5.6,4/26/2021
1770,2010349,NLA17_CT-10003,26-Jun-17,41.88112,-73.03985,1,40,ABLABESMYIA,32,1,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PR,SP,5.6,4/26/2021
1832,2010412,NLA17_CT-10021,6-Jul-17,41.8576,-72.29784,1,40,ABLABESMYIA,13,1,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PR,SP,5.6,4/26/2021
1917,2010457,NLA17_CT-10023,12-Jul-17,41.5081,-71.87569,1,40,ABLABESMYIA,6,1,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PR,SP,5.6,4/26/2021
1944,2010582,NLA17_CT-10006,25-Jul-17,41.95109,-73.46631,1,40,ABLABESMYIA,20,1,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PR,SP,5.6,4/26/2021
1995,2010727,NLA17_CT-10004,14-Aug-17,41.67757,-73.1447,1,40,ABLABESMYIA,9,1,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PR,SP,5.6,4/26/2021
2089,2010774,NLA17_CT-10002,17-Aug-17,42.02182,-73.48257,1,40,ABLABESMYIA,6,1,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PR,SP,5.6,4/26/2021
2127,2010787,NLA17_CT-10010,22-Aug-17,41.4121,-73.19875,1,40,ABLABESMYIA,2,1,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PR,SP,5.6,4/26/2021
2140,2010841,NLA17_CT-10005,31-Aug-17,41.84052,-72.10979,2,40,ABLABESMYIA,9,1,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PR,SP,5.6,4/26/2021
2197,2010857,NLA17_CT-10019,6-Sep-17,41.13953,-73.62351,1,40,ABLABESMYIA,4,1,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PR,SP,5.6,4/26/2021
2289,2010916,NLA17_CT-10001,14-Sep-17,41.92421,-72.21896,2,40,ABLABESMYIA,2,1,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,ABLABESMYIA,PR,SP,5.6,4/26/2021
145,2007878,NLA06608-0582,7/19/2007,41.80079367,-72.52468392,1,401,AGRAYLEA,,,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILINI,HYDROPTILIDAE,HYDROPTILINAE,AGRAYLEA,"CF,CG",CB,4,8/9/2016
768,2008112,NLA06608-1010,8/9/2007,41.44985958,-73.28915784,1,401,AGRAYLEA,5,1,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILINI,HYDROPTILIDAE,HYDROPTILINAE,AGRAYLEA,"CF,CG",CB,4,8/9/2016
65,2007836,NLA06608-0498,7/31/2007,41.95095517,-71.95133091,1,56,ALBIA,,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ATURIDAE,,ALBIA,PR,,,8/9/2016
213,2007996,NLA06608-0805,8/22/2007,41.89706027,-73.4471959,1,56,ALBIA,1,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ATURIDAE,,ALBIA,PR,,,8/9/2016
325,2007477,NLA06608-0006,7/17/2007,41.68314624,-73.1465177,1,56,ALBIA,,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ATURIDAE,,ALBIA,PR,,,8/9/2016
404,2007478,NLA06608-0006,8/30/2007,41.68314624,-73.1465177,2,56,ALBIA,2,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ATURIDAE,,ALBIA,PR,,,8/9/2016
746,2007739,NLA06608-0326,8/16/2007,41.35719487,-72.04012641,1,56,ALBIA,1,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ATURIDAE,,ALBIA,PR,,,8/9/2016
818,2008163,NLA06608-1125,8/7/2007,41.93751914,-73.45450471,1,56,ALBIA,1,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ATURIDAE,,ALBIA,PR,,,8/9/2016
847,2008303,NLA06608-1414,8/28/2007,41.92400456,-72.21921899,1,56,ALBIA,2,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ATURIDAE,,ALBIA,PR,,,8/9/2016
1464,8412,NLA12_CT-115,9/6/2012,41.71185606,-72.32903222,2,56,ALBIA,1,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ATURIDAE,,ALBIA,PR,,,8/23/2016
2015,2010727,NLA17_CT-10004,14-Aug-17,41.67757,-73.1447,1,56,ALBIA,,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,ATURIDAE,,,ALBIA,PR,,,4/26/2021
1008,6854,NLA12_CT-102,6/28/2012,41.8811168,-73.03985488,1,428,ALBOGLOSSIPHONIA,,,ANNELIDA,CLITELLATA,RHYNCHOBDELLIDA,,GLOSSIPHONIIDAE,,ALBOGLOSSIPHONIA,PR,SP,8,8/23/2016
1108,7224,NLA12_CT-118,7/17/2012,41.77454096,-71.88798099,1,428,ALBOGLOSSIPHONIA,,,ANNELIDA,CLITELLATA,RHYNCHOBDELLIDA,,GLOSSIPHONIIDAE,,ALBOGLOSSIPHONIA,PR,SP,8,8/23/2016
1206,7582,NLA12_CT-126,8/1/2012,41.84051817,-72.10979305,1,428,ALBOGLOSSIPHONIA,,,ANNELIDA,CLITELLATA,RHYNCHOBDELLIDA,,GLOSSIPHONIIDAE,,ALBOGLOSSIPHONIA,PR,SP,8,8/23/2016
1899,2010457,NLA17_CT-10023,12-Jul-17,41.5081,-71.87569,1,428,ALBOGLOSSIPHONIA,,,ANNELIDA,CLITELLATA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,,ALBOGLOSSIPHONIA,PR,SP,8,4/26/2021
2273,2010916,NLA17_CT-10001,14-Sep-17,41.92421,-72.21896,2,428,ALBOGLOSSIPHONIA,1,1,ANNELIDA,CLITELLATA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,,ALBOGLOSSIPHONIA,PR,SP,8,4/26/2021
1719,2010342,NLA17_CT-HP001,21-Jun-17,41.409888,-72.528337,1,4883,AMNICOLA,,,MOLLUSCA,GASTROPODA,NEOTAENIOGLOSSA,HYDROBIIDAE,AMNICOLINAE,,AMNICOLA,,,,4/26/2021
1775,2010349,NLA17_CT-10003,26-Jun-17,41.88112,-73.03985,1,4883,AMNICOLA,9,1,MOLLUSCA,GASTROPODA,NEOTAENIOGLOSSA,HYDROBIIDAE,AMNICOLINAE,,AMNICOLA,,,,4/26/2021
1994,2010727,NLA17_CT-10004,14-Aug-17,41.67757,-73.1447,1,4883,AMNICOLA,32,1,MOLLUSCA,GASTROPODA,NEOTAENIOGLOSSA,HYDROBIIDAE,AMNICOLINAE,,AMNICOLA,,,,4/26/2021
2131,2010787,NLA17_CT-10010,22-Aug-17,41.4121,-73.19875,1,4883,AMNICOLA,6,1,MOLLUSCA,GASTROPODA,NEOTAENIOGLOSSA,HYDROBIIDAE,AMNICOLINAE,,AMNICOLA,,,,4/26/2021
2185,2010841,NLA17_CT-10005,31-Aug-17,41.84052,-72.10979,2,4883,AMNICOLA,14,1,MOLLUSCA,GASTROPODA,NEOTAENIOGLOSSA,HYDROBIIDAE,AMNICOLINAE,,AMNICOLA,,,,4/26/2021
2250,2010916,NLA17_CT-10001,14-Sep-17,41.92421,-72.21896,2,4883,AMNICOLA,11,1,MOLLUSCA,GASTROPODA,NEOTAENIOGLOSSA,HYDROBIIDAE,AMNICOLINAE,,AMNICOLA,,,,4/26/2021
2035,2010727,NLA17_CT-10004,14-Aug-17,41.67757,-73.1447,1,196,AMPHIPODA,3,0,ARTHROPODA,MALACOSTRACA,AMPHIPODA,,,,,CG,SP,4.7,4/26/2021
892,6689,NLA12_CT-101,6/20/2012,41.92395129,-72.21958455,1,1,ANCYLIDAE,1,1,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,,ANCYLIDAE,,,SC,CB,5.8,8/23/2016
1117,7224,NLA12_CT-118,7/17/2012,41.77454096,-71.88798099,1,1,ANCYLIDAE,2,1,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,,ANCYLIDAE,,,SC,CB,5.8,8/23/2016
1224,7582,NLA12_CT-126,8/1/2012,41.84051817,-72.10979305,1,1,ANCYLIDAE,2,1,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,,ANCYLIDAE,,,SC,CB,5.8,8/23/2016
1257,7800,NLA12_CT-103,8/9/2012,41.67757315,-73.14469782,1,1,ANCYLIDAE,1,1,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,,ANCYLIDAE,,,SC,CB,5.8,8/23/2016
1443,8412,NLA12_CT-115,9/6/2012,41.71185606,-72.32903222,2,1,ANCYLIDAE,,,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,,ANCYLIDAE,,,SC,CB,5.8,8/23/2016
1546,8647,NLA12_NY-0103,9/19/2012,42.02259255,-73.48550577,1,1,ANCYLIDAE,1,1,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,,ANCYLIDAE,,,SC,CB,5.8,8/23/2016
116,2007878,NLA06608-0582,7/19/2007,41.80079367,-72.52468392,1,141,ANCYRONYX,1,1,ARTHROPODA,INSECTA,COLEOPTERA,,ELMIDAE,,ANCYRONYX,"CG,SC",CN,4.2,8/9/2016
962,6813,NLA12_CT-115,6/26/2012,41.71185606,-72.32903222,1,2,ARACHNIDA,,,ARTHROPODA,ARACHNIDA,,,,,,PR,,8,8/23/2016
1351,7953,NLA12_CT-108,8/15/2012,41.65348504,-73.20748141,1,2,ARACHNIDA,1,0,ARTHROPODA,ARACHNIDA,,,,,,PR,,8,8/23/2016
1607,2010234,NLA17_CT-10005,13-Jun-17,41.84052,-72.10979,1,2,ARACHNIDA,1,1,ARTHROPODA,ARACHNIDA,,,,,,PR,,8,4/26/2021
1671,2010341,NLA17_CT-10001,22-Jun-17,41.92421,-72.21896,1,2,ARACHNIDA,1,0,ARTHROPODA,ARACHNIDA,,,,,,PR,,8,4/26/2021
1745,2010342,NLA17_CT-HP001,21-Jun-17,41.409888,-72.528337,1,2,ARACHNIDA,1,1,ARTHROPODA,ARACHNIDA,,,,,,PR,,8,4/26/2021
2282,2010916,NLA17_CT-10001,14-Sep-17,41.92421,-72.21896,2,2,ARACHNIDA,,,ARTHROPODA,ARACHNIDA,,,,,,PR,,8,4/26/2021
1456,8412,NLA12_CT-115,9/6/2012,41.71185606,-72.32903222,2,3,ARGIA,2,1,ARTHROPODA,INSECTA,ODONATA,,COENAGRIONIDAE,,ARGIA,PR,CB,7.1,8/23/2016
2038,2010727,NLA17_CT-10004,14-Aug-17,41.67757,-73.1447,1,3,ARGIA,4,1,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,,,ARGIA,PR,CB,7.1,4/26/2021
66,2007836,NLA06608-0498,7/31/2007,41.95095517,-71.95133091,1,57,ARRENURUS,3,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/9/2016
166,2007878,NLA06608-0582,7/19/2007,41.80079367,-72.52468392,1,57,ARRENURUS,,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/9/2016
218,2007996,NLA06608-0805,8/22/2007,41.89706027,-73.4471959,1,57,ARRENURUS,7,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/9/2016
279,2008078,NLA06608-0946,8/14/2007,41.83996337,-72.19612696,1,57,ARRENURUS,,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/9/2016
322,2007477,NLA06608-0006,7/17/2007,41.68314624,-73.1465177,1,57,ARRENURUS,1,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/9/2016
456,2007516,NLA06608-0037,7/13/2007,41.69699293,-73.36398551,1,57,ARRENURUS,2,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/9/2016
523,2007517,NLA06608-0037,9/5/2007,41.69699293,-73.36398551,2,57,ARRENURUS,4,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/9/2016
584,2007614,NLA06608-0134,7/24/2007,41.88000298,-73.04056323,1,57,ARRENURUS,5,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/9/2016
669,2007696,NLA06608-0242,8/2/2007,41.56832304,-71.91051169,1,57,ARRENURUS,7,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/9/2016
714,2007723,NLA06608-0293,7/25/2007,41.38426053,-73.50316356,1,57,ARRENURUS,23,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/9/2016
747,2007739,NLA06608-0326,8/16/2007,41.35719487,-72.04012641,1,57,ARRENURUS,2,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/9/2016
805,2008163,NLA06608-1125,8/7/2007,41.93751914,-73.45450471,1,57,ARRENURUS,19,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/9/2016
835,2008303,NLA06608-1414,8/28/2007,41.92400456,-72.21921899,1,57,ARRENURUS,1,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/9/2016
889,6689,NLA12_CT-101,6/20/2012,41.92395129,-72.21958455,1,57,ARRENURUS,,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/23/2016
1067,7091,NLA12_CT-104,7/11/2012,41.95084399,-71.9511164,1,57,ARRENURUS,3,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/23/2016
1128,7224,NLA12_CT-118,7/17/2012,41.77454096,-71.88798099,1,57,ARRENURUS,4,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/23/2016
1246,7800,NLA12_CT-103,8/9/2012,41.67757315,-73.14469782,1,57,ARRENURUS,1,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/23/2016
1350,7953,NLA12_CT-108,8/15/2012,41.65348504,-73.20748141,1,57,ARRENURUS,7,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/23/2016
1391,8298,NLA12_CT-101,8/29/2012,41.92395129,-72.21958455,2,57,ARRENURUS,,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/23/2016
1465,8412,NLA12_CT-115,9/6/2012,41.71185606,-72.32903222,2,57,ARRENURUS,,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/23/2016
1512,8500,NLA12_CT-105,9/12/2012,41.89704559,-73.44712926,1,57,ARRENURUS,3,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/23/2016
1590,8647,NLA12_NY-0103,9/19/2012,42.02259255,-73.48550577,1,57,ARRENURUS,2,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,ARRENURIDAE,,ARRENURUS,PR,CB,8,8/23/2016
1674,2010341,NLA17_CT-10001,22-Jun-17,41.92421,-72.21896,1,57,ARRENURUS,2,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,ARRENURIDAE,,,ARRENURUS,PR,CB,8,4/26/2021
1967,2010582,NLA17_CT-10006,25-Jul-17,41.95109,-73.46631,1,57,ARRENURUS,1,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,ARRENURIDAE,,,ARRENURUS,PR,CB,8,4/26/2021
2074,2010774,NLA17_CT-10002,17-Aug-17,42.02182,-73.48257,1,57,ARRENURUS,2,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,ARRENURIDAE,,,ARRENURUS,PR,CB,8,4/26/2021
2253,2010916,NLA17_CT-10001,14-Sep-17,41.92421,-72.21896,2,57,ARRENURUS,4,1,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,ARRENURIDAE,,,ARRENURUS,PR,CB,8,4/26/2021
666,2007696,NLA06608-0242,8/2/2007,41.56832304,-71.91051169,1,355,ATRACTIDES,,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,,HYGROBATIDAE,,ATRACTIDES,PR,CB,8,8/9/2016
1895,2010457,NLA17_CT-10023,12-Jul-17,41.5081,-71.87569,1,355,ATRACTIDES,,,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,HYGROBATIDAE,,,ATRACTIDES,PR,CB,8,4/26/2021
1290,7800,NLA12_CT-103,8/9/2012,41.67757315,-73.14469782,1,96,ATRICHOPOGON,1,1,ARTHROPODA,INSECTA,DIPTERA,,CERATOPOGONIDAE,FORCIPOMYIINAE,ATRICHOPOGON,"CG,PR",CN,6,8/23/2016
54,2007739,NLA06608-0326,8/16/2007,41.35719487,-72.04012641,1,170,AULODRILUS,5,1,ANNELIDA,CLITELLATA,HAPLOTAXIDA,,TUBIFICIDAE,,AULODRILUS,CG,SP,6.5,8/9/2016
94,2007836,NLA06608-0498,7/31/2007,41.95095517,-71.95133091,1,170,AULODRILUS,,,ANNELIDA,CLITELLATA,HAPLOTAXIDA,,TUBIFICIDAE,,AULODRILUS,CG,SP,6.5,8/9/2016
149,2007878,NLA06608-0582,7/19/2007,41.80079367,-72.52468392,1,170,AULODRILUS,4,1,ANNELIDA,CLITELLATA,HAPLOTAXIDA,,TUBIFICIDAE,,AULODRILUS,CG,SP,6.5,8/9/2016
264,2008078,NLA06608-0946,8/14/2007,41.83996337,-72.19612696,1,170,AULODRILUS,4,1,ANNELIDA,CLITELLATA,HAPLOTAXIDA,,TUBIFICIDAE,,AULODRILUS,CG,SP,6.5,8/9/2016
